index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
40,B1,15/09/02,Louvieroise,Germinal,1,1,D,0,0,D,2.3,3.2,2.625,2.3,3.2,2.7,2.2,3.1,2.8,2.3,3.2,2.625,2.2,3.2,2.7,1.6,2.05
41,B1,21/09/02,Bergen,Antwerp,3,0,H,1,0,H,2.25,3.3,2.625,2.25,3.5,2.7,2.2,3.1,2.8,2.2,3.3,2.7,2.05,3.3,2.9,1.6,2.0
42,B1,21/09/02,Charleroi,Genk,0,0,D,0,0,D,3.6,3.3,1.833,3.75,3.4,1.8,3.6,3.2,1.8,3.6,3.4,1.8,3.35,3.25,1.9,1.45,2.4
43,B1,21/09/02,Club Brugge,Gent,1,0,H,1,0,H,1.3,4.333,8.0,1.36,4.4,7.5,1.4,3.9,6.0,1.333,4.333,7.0,1.33,4.0,8.0,1.45,2.35
44,B1,21/09/02,Germinal,Beveren,2,1,H,1,1,D,1.364,3.8,7.5,1.39,4.25,7.6,1.35,4.0,7.0,1.333,4.333,7.0,1.35,3.75,8.0,1.45,2.35
45,B1,21/09/02,Lierse,Standard,2,0,H,1,0,H,2.1,3.3,2.875,2.3,3.3,3.0,2.1,3.2,2.9,2.1,3.25,2.9,2.25,3.25,2.6,1.65,1.95
46,B1,21/09/02,St Truiden,Mechelen,5,1,H,3,0,H,1.615,3.5,4.5,1.5,3.65,5.5,1.55,3.5,4.8,1.533,3.5,5.0,1.5,3.4,5.75,1.65,1.95
47,B1,22/09/02,Lokeren,Westerlo,4,0,H,0,0,D,1.571,3.5,5.0,1.55,3.7,5.4,1.6,3.4,4.6,1.533,3.4,5.5,1.55,3.5,4.8,1.6,2.0
48,B1,23/09/02,Anderlecht,Mouscron,6,3,H,3,1,H,1.5,3.6,5.5,1.51,4.0,6.15,1.45,3.8,5.4,1.45,3.6,6.0,1.57,3.5,5.0,1.45,2.45
49,B1,27/09/02,Charleroi,Anderlecht,1,3,A,0,2,A,4.333,3.4,1.667,4.6,3.45,1.64,4.0,3.3,1.7,4.33,3.4,1.67,3.8,3.3,1.75,1.5,2.35
50,B1,28/09/02,Antwerp,Club Brugge,2,2,D,1,1,D,4.333,3.4,1.667,4.12,3.5,1.68,4.0,3.3,1.7,4.33,3.4,1.67,3.8,3.3,1.75,1.45,2.53
