index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
13,B1,14/08/04,Lokeren,FC Brussels,1,0,H,0,0,D,1.72,3.25,4.33,1.7,3.45,4.3,1.7,3.3,4.5,1.7,3.2,4.2,1.57,3.5,5.0,1.62,3.4,4.75,1.7,3.3,4.33,1.71,1.95,1.7,1.9,-0.5,,,,,,,,
14,B1,14/08/04,Louvieroise,Cercle Brugge,2,1,H,0,1,A,1.66,3.4,4.33,1.75,3.4,4.05,1.75,3.3,4.25,1.8,3.1,3.8,1.73,3.2,4.33,1.75,3.25,4.0,1.72,3.4,4.0,1.83,1.83,1.75,1.86,-0.5,,,,,,,,
15,B1,14/08/04,Westerlo,Lierse,2,1,H,2,0,H,1.83,3.25,3.75,1.9,3.3,3.5,1.91,3.25,3.55,2.0,3.1,3.2,1.91,3.2,3.5,1.91,3.2,3.5,2.05,3.3,3.0,1.75,1.9,1.91,1.7,-0.5,,,,,,,,
16,B1,15/08/04,Bergen,Beveren,2,2,D,2,1,H,2.2,3.25,2.75,2.0,3.25,3.25,2.1,3.25,3.05,1.85,3.2,3.5,2.0,3.2,3.2,2.2,3.1,2.88,2.1,3.2,3.0,1.83,1.83,2.1,1.57,-0.5,,,,,,,,
17,B1,15/08/04,Club Brugge,Gent,5,0,H,2,0,H,1.33,4.33,8.0,1.4,4.0,6.75,1.33,4.5,7.25,1.4,3.9,6.0,1.4,3.75,7.0,1.33,4.33,7.0,1.33,4.0,8.0,1.71,1.95,1.33,2.78,-0.5,,,,,,,,
18,B1,15/08/04,Germinal,Oostende,4,0,H,1,0,H,1.61,3.5,4.5,1.7,3.45,4.3,1.62,3.4,5.0,1.65,3.3,4.4,1.62,3.25,5.0,1.67,3.4,4.33,1.61,3.3,5.0,1.6,2.1,1.7,1.9,-0.5,,,,,,,,
19,B1,21/08/04,Beveren,Anderlecht,0,1,A,0,0,D,4.5,3.5,1.61,4.3,3.45,1.7,4.6,3.4,1.67,4.2,3.2,1.7,4.5,3.25,1.67,4.75,3.4,1.62,4.5,3.3,1.66,1.6,2.1,1.96,1.67,0.5,,,,,,,,
20,B1,21/08/04,Charleroi,Westerlo,0,1,A,0,1,A,2.5,3.1,2.5,2.45,3.2,2.55,2.5,3.15,2.55,2.4,3.0,2.6,2.62,3.4,2.25,2.5,3.1,2.5,2.4,3.1,2.6,1.55,2.2,2.5,1.41,-0.5,,,,,,,,
21,B1,21/08/04,Gent,Bergen,2,1,H,1,1,D,1.72,3.4,4.0,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,1.67,3.25,4.5,1.8,3.25,3.8,1.8,3.1,4.0,1.71,1.95,1.8,1.79,-0.5,,,,,,,,
22,B1,21/08/04,Lierse,Germinal,2,0,H,2,0,H,2.2,3.25,2.75,2.05,3.25,3.15,2.2,3.2,2.9,2.2,2.9,3.0,2.1,3.4,2.88,2.1,3.2,3.0,2.1,3.1,3.1,1.71,1.95,2.2,1.52,-0.5,,,,,,,,
23,B1,21/08/04,Mouscron,St Truiden,4,0,H,3,0,H,1.57,3.5,5.0,1.65,3.5,4.55,1.62,3.4,5.0,1.75,3.2,4.0,1.62,3.25,5.0,1.62,3.4,4.75,1.7,3.5,4.0,1.6,2.1,1.62,2.02,-0.5,,,,,,,,
24,B1,21/08/04,Oostende,Club Brugge,1,2,A,0,0,D,5.5,3.6,1.5,6.25,3.8,1.45,5.5,3.5,1.55,5.4,3.8,1.45,5.5,3.6,1.5,6.0,3.75,1.44,5.5,3.6,1.5,1.5,2.3,2.14,1.55,0.5,,,,,,,,
25,B1,22/08/04,Cercle Brugge,Standard,1,3,A,0,1,A,3.2,3.2,2.0,3.25,3.25,2.0,3.3,3.25,2.0,3.2,3.1,2.0,3.5,3.4,1.83,3.5,3.2,1.91,3.6,3.3,1.83,1.65,2.0,1.64,2.0,0.5,,,,,,,,
26,B1,22/08/04,FC Brussels,Louvieroise,1,1,D,0,1,A,2.37,3.1,2.62,2.45,3.2,2.55,2.4,3.15,2.65,2.2,3.0,2.9,2.2,3.2,2.8,2.4,3.2,2.5,2.25,3.3,2.62,1.65,2.0,2.4,1.44,-0.5,,,,,,,,
27,B1,22/08/04,Genk,Lokeren,2,1,H,0,0,D,1.61,3.5,4.5,1.6,3.55,4.9,1.65,3.5,4.55,1.7,3.2,4.2,1.67,3.25,4.5,1.67,3.4,4.33,1.66,3.3,4.5,1.6,2.1,1.65,1.98,-0.5,,,,,,,,
28,B1,27/08/04,Louvieroise,Genk,2,0,H,0,0,D,2.62,3.1,2.37,2.45,3.2,2.55,2.6,3.1,2.45,2.6,3.0,2.4,2.6,3.2,2.75,2.5,3.1,2.5,2.62,3.1,2.37,1.71,1.95,1.41,2.45,0.5,,,,,,,,
29,B1,28/08/04,Anderlecht,Gent,2,0,H,1,0,H,1.25,5.0,8.0,1.25,5.0,9.0,1.25,5.0,9.0,1.25,4.5,9.0,1.3,4.0,9.0,1.25,4.75,9.0,1.25,5.0,8.0,1.45,2.45,1.25,3.21,-0.5,,,,,,,,
30,B1,28/08/04,Bergen,Oostende,2,0,H,1,0,H,1.72,3.4,4.0,1.75,3.4,4.05,1.75,3.25,4.25,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.25,4.2,1.8,3.1,4.0,1.65,2.0,1.75,1.84,-0.5,,,,,,,,
31,B1,28/08/04,Club Brugge,Lierse,1,0,H,0,0,D,1.25,5.0,8.0,1.3,4.5,8.25,1.25,5.0,9.0,1.25,4.5,9.0,1.3,4.0,9.0,1.25,4.75,9.0,1.25,5.0,8.0,1.45,2.45,1.25,3.21,-0.5,,,,,,,,
32,B1,28/08/04,Lokeren,Mouscron,1,1,D,0,0,D,2.3,3.2,2.7,2.5,3.2,2.5,2.4,3.1,2.65,2.2,3.0,2.9,2.1,3.2,3.0,2.25,3.2,2.75,2.2,3.2,2.8,1.71,1.95,2.4,1.43,-0.5,,,,,,,,
33,B1,28/08/04,Standard,FC Brussels,1,3,A,0,1,A,1.33,4.33,7.0,1.3,4.5,8.25,1.33,4.25,8.0,1.35,4.0,7.0,1.4,3.75,7.0,1.33,4.33,7.0,1.3,4.33,8.0,1.55,2.2,1.33,2.78,-0.5,,,,,,,,
34,B1,28/08/04,Westerlo,Cercle Brugge,1,2,A,1,0,H,1.53,3.5,5.5,1.65,3.25,5.0,1.6,3.45,5.0,1.6,3.4,4.6,1.57,3.5,5.0,1.57,3.5,5.0,1.57,3.3,5.5,1.6,2.1,1.6,2.04,-0.5,,,,,,,,
35,B1,29/08/04,Germinal,Charleroi,0,1,A,0,1,A,1.66,3.4,4.33,1.7,3.45,4.3,1.67,3.4,4.5,1.65,3.3,4.4,1.62,3.5,4.5,1.67,3.4,4.33,1.66,3.3,4.5,1.65,2.0,1.67,1.94,-0.5,,,,,,,,
36,B1,29/08/04,St Truiden,Beveren,0,1,A,0,0,D,2.1,3.2,3.0,2.0,3.25,3.3,2.1,3.15,3.15,1.9,3.1,3.5,2.1,3.2,3.0,2.1,3.2,3.0,2.2,3.2,2.8,1.65,2.0,2.1,1.58,-0.5,,,,,,,,
37,B1,11/09/04,Charleroi,Club Brugge,0,1,A,0,0,D,5.0,3.5,1.571,4.55,3.5,1.65,4.9,3.55,1.6,4.6,3.4,1.6,4.5,3.5,1.615,4.75,3.6,1.57,4.8,3.4,1.6,1.6,2.1,2.06,1.6,0.5,,,,,,,,
38,B1,11/09/04,FC Brussels,Westerlo,0,1,A,0,0,D,2.375,3.1,2.625,2.35,3.2,2.65,2.3,3.2,2.75,2.1,3.1,3.0,2.375,3.25,2.5,2.4,3.25,2.5,2.37,3.1,2.62,1.75,1.9,2.3,1.48,-0.5,,,,,,,,
39,B1,11/09/04,Gent,St Truiden,2,1,H,1,0,H,1.727,3.25,4.333,1.8,3.4,3.8,1.75,3.45,4.0,1.75,3.2,4.0,1.571,3.5,5.0,1.8,3.25,3.8,1.7,3.3,4.2,1.65,2.0,1.75,1.85,-0.5,,,,,,,,
40,B1,11/09/04,Lierse,Bergen,4,1,H,1,0,H,1.833,3.2,3.75,1.9,3.3,3.5,1.85,3.3,3.75,1.9,3.1,3.5,1.727,3.2,4.333,1.85,3.25,3.6,1.9,3.2,3.5,1.75,1.9,1.85,1.76,-0.5,,,,,,,,
41,B1,11/09/04,Oostende,Anderlecht,1,3,A,0,1,A,7.0,3.75,1.4,5.75,3.65,1.5,6.0,3.9,1.45,6.0,3.9,1.4,6.0,3.75,1.444,6.0,3.75,1.44,7.0,3.75,1.4,1.6,2.1,2.36,1.45,0.5,,,,,,,,
42,B1,12/09/04,Cercle Brugge,Germinal,2,1,H,0,1,A,2.3,3.2,2.625,2.3,3.2,2.75,2.25,3.2,2.8,2.2,3.0,2.9,2.375,3.25,2.5,2.25,3.25,2.7,2.35,3.25,2.55,1.71,1.95,2.25,1.49,-0.5,,,,,,,,
43,B1,12/09/04,Genk,Standard,1,1,D,0,0,D,2.25,3.0,2.875,2.35,3.2,2.65,2.2,3.2,2.9,2.2,3.0,2.9,2.25,3.2,2.75,2.25,3.25,2.7,2.15,3.2,2.9,1.75,1.9,2.2,1.52,-0.5,,,,,,,,
44,B1,12/09/04,Lokeren,Louvieroise,1,0,H,1,0,H,2.2,3.0,3.0,2.1,3.25,3.05,2.1,3.2,3.1,2.0,3.1,3.2,1.91,3.25,3.4,2.1,3.2,3.0,2.2,3.2,2.8,1.83,1.83,2.1,1.57,-0.5,,,,,,,,
45,B1,12/09/04,Mouscron,Beveren,1,0,H,1,0,H,1.571,3.5,5.0,1.6,3.55,4.9,1.55,3.7,5.0,1.55,3.5,4.8,1.615,3.5,4.5,1.61,3.4,4.75,1.55,3.35,5.5,1.75,1.9,1.55,2.13,-0.5,,,,,,,,
46,B1,17/09/04,Louvieroise,Mouscron,3,1,H,1,1,D,2.2,3.2,2.8,2.2,3.2,2.9,2.25,3.15,2.85,2.3,2.9,2.8,2.38,3.2,2.6,2.25,3.25,2.7,2.15,3.1,2.95,1.71,1.95,2.25,1.5,-0.5,,,,,,,,
47,B1,18/09/04,Anderlecht,Lierse,5,1,H,2,0,H,1.25,5.0,8.0,1.25,5.0,9.0,1.25,5.0,9.0,1.27,4.3,8.5,1.29,4.33,9.0,1.25,5.0,8.0,1.25,5.0,8.0,1.55,2.2,1.25,3.21,-0.5,,,,,,,,
48,B1,17/10/04,Lokeren,Club Brugge,0,2,A,0,1,A,4.5,3.3,1.66,4.3,3.45,1.7,4.2,3.5,1.7,4.2,3.2,1.7,3.5,3.5,1.8,3.75,3.3,1.8,4.0,3.4,1.72,1.65,2.0,1.91,1.7,0.5,,,,,,,,
49,B1,17/10/04,Louvieroise,Germinal,1,1,D,1,0,H,1.66,3.3,4.5,1.7,3.45,4.3,1.7,3.35,4.4,1.8,3.1,3.8,1.67,3.25,4.5,1.67,3.4,4.33,1.65,3.3,4.6,1.71,1.95,1.7,1.9,-0.5,,,,,,,,
50,B1,23/10/04,Bergen,Lokeren,0,1,A,0,1,A,2.5,3.1,2.5,2.4,3.2,2.6,2.5,3.2,2.5,2.4,2.9,2.7,2.4,3.25,2.5,2.5,3.25,2.4,2.45,3.1,2.55,1.75,1.9,2.5,1.4,-0.5,,,,,,,,
51,B1,23/10/04,Gent,Charleroi,3,1,H,2,1,H,1.83,3.25,3.6,1.85,3.35,3.65,1.85,3.3,3.75,1.8,3.1,3.8,1.8,3.5,3.5,1.85,3.25,3.6,1.85,3.3,3.5,1.65,2.0,1.85,1.76,-0.5,,,,,,,,
52,B1,23/10/04,St Truiden,FC Brussels,2,0,H,0,0,D,2.0,3.2,3.2,1.95,3.25,3.4,2.0,3.25,3.3,2.0,3.1,3.2,1.91,3.25,3.4,2.0,3.2,3.2,2.0,3.15,3.2,1.75,1.9,2.0,1.64,-0.5,,,,,,,,
53,B1,23/10/04,Westerlo,Mouscron,0,1,A,0,1,A,2.1,3.2,3.0,2.1,3.25,3.05,2.1,3.25,3.0,2.2,3.0,2.9,1.91,3.25,3.4,2.1,3.2,3.0,2.05,3.2,3.05,1.75,1.9,2.1,1.56,-0.5,,,,,,,,
54,B1,24/10/04,Anderlecht,Genk,4,2,H,0,1,A,1.4,3.75,7.0,1.35,4.2,7.5,1.4,4.1,6.5,1.45,3.8,5.4,1.5,3.4,6.0,1.44,3.75,6.0,1.44,3.6,6.5,1.6,2.1,1.95,1.52,-1.5,,,,,,,,
55,B1,24/10/04,Beveren,Cercle Brugge,5,1,H,2,0,H,2.0,3.2,3.2,2.0,3.25,3.3,2.0,3.25,3.3,2.1,3.0,3.1,1.91,3.4,3.25,1.91,3.2,3.5,1.9,3.25,3.4,1.71,1.95,2.0,1.64,-0.5,,,,,,,,
56,B1,24/10/04,Club Brugge,Louvieroise,2,0,H,1,0,H,1.33,4.33,7.0,1.4,4.0,6.75,1.35,4.35,7.0,1.3,4.2,8.0,1.4,3.75,7.0,1.33,4.33,7.0,1.36,3.7,8.0,1.6,2.1,1.85,1.6,-1.5,,,,,,,,
57,B1,24/10/04,Germinal,Standard,1,0,H,0,0,D,3.0,3.2,2.1,3.3,3.25,2.0,3.0,3.25,2.1,3.2,3.1,2.0,2.75,3.25,2.2,3.0,3.2,2.1,2.8,3.2,2.2,1.71,1.95,1.56,2.1,0.5,,,,,,,,
58,B1,24/10/04,Oostende,Lierse,2,3,A,2,2,D,2.37,3.1,2.62,2.25,3.2,2.8,2.4,3.2,2.6,2.4,2.9,2.7,2.4,3.25,2.5,2.4,3.25,2.5,2.35,3.15,2.6,1.75,1.9,2.4,1.43,-0.5,,,,,,,,
59,B1,29/10/04,Standard,Club Brugge,1,4,A,1,1,D,2.75,3.2,2.25,2.9,3.2,2.2,2.8,3.1,2.3,2.9,3.0,2.2,2.62,3.4,2.25,2.75,3.2,2.25,2.8,3.3,2.15,,,1.47,2.3,0.5,,,,,,,,
60,B1,30/10/04,Charleroi,Oostende,1,0,H,1,0,H,1.53,3.5,5.5,1.55,3.6,5.3,1.55,3.5,5.5,1.55,3.5,4.8,1.44,3.6,6.5,1.53,3.6,5.2,1.55,3.6,5.0,1.6,2.1,1.55,2.14,-0.5,,,,,,,,
61,B1,30/10/04,FC Brussels,Beveren,1,3,A,1,2,A,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.2,2.75,2.2,3.0,2.9,2.25,3.4,2.62,2.25,3.2,2.75,2.25,3.1,2.8,1.79,1.85,2.3,1.48,-0.5,,,,,,,,
62,B1,30/10/04,Genk,St Truiden,1,0,H,1,0,H,1.5,3.4,6.0,1.45,3.8,6.25,1.45,3.8,6.3,1.55,3.5,4.8,1.44,3.6,6.5,1.5,3.6,5.5,1.55,3.6,5.0,1.6,2.1,1.45,2.37,-0.5,,,,,,,,
63,B1,30/10/04,Lokeren,Anderlecht,2,2,D,2,1,H,4.0,3.4,1.72,3.55,3.3,1.9,4.0,3.4,1.75,3.8,3.3,1.75,3.6,3.4,1.8,4.0,3.4,1.73,3.75,3.3,1.8,1.65,2.0,1.84,1.75,0.5,,,,,,,,
64,B1,10/11/04,Germinal,Club Brugge,0,1,A,0,1,A,5.0,3.5,1.57,5.8,3.65,1.5,5.0,3.5,1.6,5.0,3.7,1.5,4.5,3.25,1.67,4.5,3.5,1.62,5.0,3.55,1.55,1.75,1.9,2.06,1.6,0.5,1.875,1.975,1.0,,,,,
65,B1,10/11/04,Lokeren,Beveren,1,1,D,0,0,D,1.72,3.4,4.0,1.7,3.45,4.3,1.75,3.4,4.1,1.8,3.1,3.8,1.8,3.25,3.75,1.8,3.25,3.8,1.7,3.25,4.3,1.75,1.9,1.75,1.86,-0.5,1.8,2.05,-0.5,,,,,
66,B1,10/11/04,Louvieroise,St Truiden,1,0,H,0,0,D,1.57,3.5,5.0,1.5,3.65,5.8,1.6,3.5,5.0,1.65,3.3,4.4,1.62,3.5,4.5,1.57,3.5,5.0,1.55,3.55,5.0,1.71,1.95,1.6,2.06,-0.5,2.075,1.775,-1.0,,,,,
67,B1,10/11/04,Mouscron,Charleroi,0,1,A,0,0,D,1.9,3.2,3.4,1.95,3.25,3.4,2.0,3.25,3.3,1.9,3.1,3.5,2.0,3.2,3.2,2.0,3.2,3.2,2.05,3.15,3.1,1.76,1.87,2.0,1.64,-0.5,2.0,1.85,-0.5,,,,,
68,B1,10/11/04,Standard,Anderlecht,1,0,H,0,0,D,3.0,3.2,2.1,3.3,3.25,2.0,2.9,3.2,2.2,2.7,3.0,2.3,2.62,3.4,2.25,2.9,3.2,2.15,3.2,3.05,2.05,1.65,2.0,1.52,2.2,0.5,1.975,1.875,0.25,,,,,
69,B1,10/11/04,Westerlo,Bergen,2,1,H,2,0,H,1.66,3.4,4.33,1.6,3.5,4.9,1.7,3.4,4.4,1.75,3.2,4.0,1.62,3.5,4.5,1.67,3.4,4.33,1.7,3.4,4.1,1.75,1.9,1.7,1.92,-0.5,1.975,1.875,-0.75,,,,,
70,B1,27/11/04,Anderlecht,Westerlo,4,0,H,2,0,H,1.25,4.5,10.0,1.25,5.0,9.0,1.25,5.0,9.0,1.25,4.5,9.0,1.25,4.5,10.0,1.25,4.75,9.0,1.2,5.0,11.0,1.55,2.2,1.25,3.21,-0.5,1.925,1.925,-1.75,,,,,
71,B1,27/11/04,Beveren,Louvieroise,0,2,A,0,0,D,2.3,3.25,2.62,2.3,3.2,2.75,2.35,3.2,2.7,2.2,3.0,2.9,2.25,3.5,2.5,2.38,3.1,2.62,2.3,3.2,2.62,1.83,1.83,2.35,1.46,-0.5,1.775,2.075,0.0,,,,,
72,B1,27/11/04,Charleroi,Cercle Brugge,5,1,H,2,1,H,1.83,3.3,3.6,1.85,3.3,3.7,1.85,3.35,3.65,1.9,3.1,3.5,1.8,3.5,3.5,1.83,3.3,3.6,1.8,3.25,3.8,1.6,2.1,1.85,1.75,-0.5,1.925,1.925,-0.5,,,,,
73,B1,27/11/04,Gent,Lokeren,3,1,H,2,1,H,1.8,3.3,3.75,1.8,3.4,3.8,1.8,3.4,3.8,1.85,3.1,3.6,1.8,3.4,3.6,1.8,3.3,3.75,1.72,3.2,4.33,1.65,2.0,1.8,1.79,-0.5,1.925,1.925,-0.5,,,,,
74,B1,27/11/04,Oostende,Genk,1,3,A,0,1,A,3.5,3.4,1.83,3.8,3.4,1.8,3.65,3.35,1.85,3.8,3.1,1.8,3.75,3.25,1.8,3.5,3.2,1.91,4.2,3.25,1.72,1.75,1.9,1.75,1.85,0.5,2.0,1.85,0.5,,,,,
75,B1,28/11/04,Bergen,Germinal,0,1,A,0,0,D,2.5,3.1,2.5,2.6,3.2,2.4,2.5,3.2,2.5,2.4,3.0,2.6,2.38,3.25,2.5,2.5,3.1,2.5,2.5,3.1,2.5,1.83,1.83,2.5,1.4,-0.5,1.875,1.975,0.0,,,,,
76,B1,28/11/04,Club Brugge,Mouscron,3,0,H,2,0,H,1.2,5.0,11.0,1.25,5.0,9.0,1.25,5.0,9.0,1.25,4.5,9.0,1.25,4.5,10.0,1.2,5.5,9.5,1.2,5.0,11.0,1.5,2.3,1.25,3.21,-0.5,1.875,1.975,-1.75,,,,,
77,B1,28/11/04,Lierse,FC Brussels,5,1,H,3,0,H,1.57,3.5,5.0,1.6,3.5,5.0,1.6,3.5,5.0,1.6,3.4,4.6,1.57,3.5,5.0,1.57,3.5,5.0,1.61,3.4,4.8,1.71,1.95,1.6,2.06,-0.5,1.75,2.1,-0.75,,,,,
78,B1,28/11/04,St Truiden,Standard,4,1,H,3,1,H,3.0,3.2,2.1,2.95,3.25,2.15,3.15,3.15,2.1,3.2,3.1,2.0,3.0,3.4,2.0,3.2,3.2,2.0,3.5,3.2,1.9,1.83,1.83,1.64,2.0,0.5,2.1,1.75,0.25,,,,,
79,B1,03/12/04,Louvieroise,Gent,0,1,A,0,1,A,2.0,3.2,3.2,2.0,3.25,3.3,2.1,3.25,3.05,2.1,3.0,3.1,2.0,3.4,3.0,2.0,3.2,3.2,2.05,3.3,3.0,1.75,1.9,2.1,1.57,-0.5,1.725,2.125,-0.25,,,,,
80,B1,03/12/04,Mouscron,Cercle Brugge,6,0,H,3,0,H,2.1,3.3,2.87,2.05,3.25,3.15,2.0,3.3,3.25,1.85,3.1,3.6,2.0,3.4,3.0,2.0,3.2,3.2,2.05,3.4,2.9,1.75,1.9,2.0,1.64,-0.5,1.975,1.875,-0.5,,,,,
81,B1,04/12/04,Club Brugge,Bergen,3,1,H,1,0,H,1.1,6.5,15.0,1.15,6.0,13.0,1.15,6.0,14.0,1.15,6.0,12.0,1.11,6.5,15.0,1.14,6.0,12.0,1.12,6.5,12.0,1.35,2.75,,,,1.775,2.075,-2.0,,,,,
82,B1,04/12/04,Genk,Lierse,3,0,H,0,0,D,1.72,3.4,4.0,1.7,3.45,4.3,1.7,3.4,4.4,1.65,3.3,4.4,1.73,3.4,4.0,1.75,3.3,4.0,1.65,3.4,4.5,1.71,1.95,1.7,1.92,-0.5,1.925,1.925,-0.75,,,,,
83,B1,04/12/04,Germinal,Anderlecht,0,1,A,0,0,D,4.0,3.4,1.72,4.05,3.4,1.75,4.0,3.3,1.8,3.8,3.1,1.8,4.0,3.4,1.73,4.0,3.4,1.73,3.75,3.5,1.75,1.71,1.95,1.81,1.8,0.5,1.975,1.875,0.5,,,,,
84,B1,04/12/04,Westerlo,St Truiden,2,1,H,1,1,D,1.9,3.25,3.4,1.75,3.4,4.05,1.85,3.3,3.75,2.0,3.1,3.2,1.91,3.5,3.2,1.91,3.25,3.4,1.8,3.4,3.6,1.79,1.85,1.85,1.76,-0.5,2.025,1.825,-0.5,,,,,
85,B1,05/12/04,FC Brussels,Charleroi,1,2,A,1,1,D,3.0,3.2,2.1,3.3,3.25,2.0,3.05,3.25,2.1,3.1,3.2,2.0,2.88,3.4,2.1,3.0,3.2,2.1,2.8,3.4,2.1,1.75,1.9,1.57,2.1,0.5,2.05,1.8,0.25,,,,,
86,B1,05/12/04,Lokeren,Oostende,1,0,H,0,0,D,1.4,3.75,7.0,1.45,3.8,6.25,1.45,3.75,6.5,1.45,3.8,5.4,1.4,3.75,7.0,1.4,3.75,7.0,1.4,3.75,7.0,1.71,1.95,2.03,1.48,-1.5,1.975,1.875,-1.25,,,,,
87,B1,05/12/04,Standard,Beveren,3,0,H,1,0,H,1.5,3.6,5.5,1.5,3.65,5.8,1.5,3.7,5.75,1.45,3.8,5.4,1.5,3.6,5.5,1.5,3.6,5.5,1.5,3.6,5.5,1.65,2.0,2.15,1.42,-1.5,1.775,2.075,-1.0,,,,,
88,B1,11/12/04,Anderlecht,Club Brugge,2,1,H,0,1,A,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.25,2.8,2.3,3.0,2.7,2.38,3.25,2.5,2.25,3.1,2.8,2.4,3.3,2.45,1.71,1.95,2.25,1.5,-0.5,2.1,1.75,-0.25,,,,,
89,B1,11/12/04,Beveren,Westerlo,4,1,H,1,0,H,2.1,3.2,3.0,2.15,3.3,2.9,2.0,3.3,3.25,2.2,3.0,2.9,2.0,3.4,3.0,2.1,3.2,3.0,2.0,3.3,3.1,1.65,2.0,2.0,1.64,-0.5,1.85,2.0,-0.25,,,,,
90,B1,11/12/04,Charleroi,Genk,2,0,H,2,0,H,2.2,3.4,2.62,2.2,3.2,2.9,2.3,3.25,2.7,2.4,3.0,2.6,2.38,3.2,2.6,2.25,3.25,2.7,2.35,3.3,2.5,1.71,1.95,2.3,1.47,-0.5,2.15,1.7,-0.25,,,,,
