index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
159,B1,03/12/95,Harelbeke,Lierse,2.0,3.0,A,0.0,1.0,A,,,,,,,,,,,
160,B1,03/12/95,Lommel,Standard,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
161,B1,03/12/95,Mechelen,Charleroi,1.0,2.0,A,0.0,2.0,A,,,,,,,,,,,
162,B1,03/12/95,Seraing,St Truiden,1.0,2.0,A,0.0,2.0,A,,,,,,,,,,,
163,B1,17/12/95,Aalst,Beveren,5.0,1.0,H,2.0,1.0,H,,,,,,,,,,,
164,B1,17/12/95,Cercle Brugge,Lommel,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
165,B1,17/12/95,Charleroi,Anderlecht,1.0,3.0,A,1.0,3.0,A,,,,,,,,,,,
166,B1,17/12/95,Germinal,Mechelen,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
167,B1,17/12/95,Lierse,Antwerp,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,
168,B1,17/12/95,Molenbeek,Harelbeke,3.0,1.0,H,3.0,1.0,H,,,,,,,,,,,
169,B1,17/12/95,St Truiden,Club Brugge,2.0,4.0,A,2.0,2.0,D,,,,,,,,,,,
170,B1,17/12/95,Standard,Gent,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
171,B1,17/12/95,Waregem,Seraing,0.0,3.0,A,0.0,2.0,A,,,,,,,,,,,
172,B1,23/12/95,Anderlecht,Germinal,4.0,2.0,H,1.0,0.0,H,,,,,,,,,,,
173,B1,23/12/95,Antwerp,Molenbeek,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
174,B1,23/12/95,Beveren,Charleroi,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
175,B1,23/12/95,Club Brugge,Seraing,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
176,B1,23/12/95,Gent,Cercle Brugge,1.0,5.0,A,0.0,2.0,A,,,,,,,,,,,
177,B1,23/12/95,Harelbeke,Aalst,2.0,1.0,H,0.0,1.0,A,,,,,,,,,,,
178,B1,23/12/95,Lommel,Lierse,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
179,B1,23/12/95,Mechelen,St Truiden,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
180,B1,23/12/95,Standard,Waregem,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
181,B1,28/01/96,Aalst,Antwerp,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
182,B1,28/01/96,Cercle Brugge,Standard,2.0,3.0,A,1.0,2.0,A,,,,,,,,,,,
183,B1,28/01/96,Charleroi,Harelbeke,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
184,B1,28/01/96,Germinal,Beveren,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
185,B1,28/01/96,Lierse,Gent,2.0,3.0,A,0.0,1.0,A,,,,,,,,,,,
186,B1,28/01/96,Molenbeek,Lommel,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
187,B1,28/01/96,Seraing,Mechelen,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
188,B1,28/01/96,St Truiden,Anderlecht,0.0,5.0,A,0.0,4.0,A,,,,,,,,,,,
189,B1,28/01/96,Waregem,Club Brugge,2.0,5.0,A,0.0,2.0,A,,,,,,,,,,,
190,B1,04/02/96,Anderlecht,Seraing,7.0,0.0,H,4.0,0.0,H,,,,,,,,,,,
191,B1,04/02/96,Antwerp,Charleroi,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
192,B1,04/02/96,Beveren,St Truiden,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
193,B1,04/02/96,Cercle Brugge,Waregem,4.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
194,B1,04/02/96,Gent,Molenbeek,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
195,B1,04/02/96,Harelbeke,Germinal,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
196,B1,04/02/96,Lommel,Aalst,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
197,B1,04/02/96,Mechelen,Club Brugge,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
198,B1,04/02/96,Standard,Lierse,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
199,B1,11/02/96,Aalst,Gent,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,
200,B1,11/02/96,Charleroi,Lommel,5.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
201,B1,11/02/96,Club Brugge,Anderlecht,2.0,1.0,H,0.0,1.0,A,,,,,,,,,,,
202,B1,11/02/96,Germinal,Antwerp,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
203,B1,11/02/96,Lierse,Cercle Brugge,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
204,B1,11/02/96,Molenbeek,Standard,3.0,1.0,H,0.0,0.0,D,,,,,,,,,,,
205,B1,11/02/96,Seraing,Beveren,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
206,B1,11/02/96,St Truiden,Harelbeke,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
207,B1,11/02/96,Waregem,Mechelen,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
208,B1,18/02/96,Anderlecht,Mechelen,3.0,1.0,H,2.0,1.0,H,,,,,,,,,,,
209,B1,18/02/96,Antwerp,St Truiden,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
210,B1,18/02/96,Beveren,Club Brugge,3.0,5.0,A,2.0,2.0,D,,,,,,,,,,,
211,B1,18/02/96,Cercle Brugge,Molenbeek,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
212,B1,18/02/96,Gent,Charleroi,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
213,B1,18/02/96,Harelbeke,Seraing,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,
214,B1,18/02/96,Lierse,Waregem,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
215,B1,18/02/96,Lommel,Germinal,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
216,B1,18/02/96,Standard,Aalst,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
217,B1,01/03/96,Beveren,Anderlecht,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
218,B1,02/03/96,Gent,St Truiden,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
219,B1,02/03/96,Lierse,Aalst,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
220,B1,02/03/96,Lommel,Seraing,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
221,B1,02/03/96,Molenbeek,Waregem,4.0,1.0,H,0.0,1.0,A,,,,,,,,,,,
222,B1,02/03/96,Standard,Germinal,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
223,B1,03/03/96,Antwerp,Club Brugge,0.0,3.0,A,0.0,0.0,D,,,,,,,,,,,
224,B1,03/03/96,Cercle Brugge,Charleroi,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
225,B1,03/03/96,Harelbeke,Mechelen,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
226,B1,10/03/96,Aalst,Molenbeek,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
227,B1,11/03/96,Anderlecht,Harelbeke,1.0,3.0,A,1.0,2.0,A,,,,,,,,,,,
228,B1,11/03/96,Charleroi,Lierse,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
229,B1,11/03/96,Club Brugge,Lommel,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
230,B1,11/03/96,Germinal,Cercle Brugge,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
