index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
93,B1,28/10/00,Charleroi,Louvieroise,2,1,H,2,0,H,1.4,4.0,6.1,1.35,3.8,6.2,1.36,4.0,7.0,1.4,4.0,5.8
94,B1,28/10/00,Genk,Gent,1,1,D,0,0,D,1.95,3.2,3.3,1.9,3.0,3.1,1.8,3.4,3.6,1.8,3.5,3.35
95,B1,28/10/00,St Truiden,Mechelen,1,0,H,0,0,D,1.85,3.15,3.9,1.9,3.0,3.1,1.83,3.5,3.4,1.85,3.5,3.2
96,B1,29/10/00,Antwerp,Standard,1,2,A,1,0,H,3.5,3.3,1.9,3.2,3.1,1.85,3.25,3.5,1.85,,,
97,B1,29/10/00,Harelbeke,Aalst,2,4,A,1,1,D,1.8,3.1,4.15,1.6,3.3,4.0,1.62,3.6,4.33,1.65,3.55,4.0
98,B1,29/10/00,Westerlo,Club Brugge,0,2,A,0,0,D,3.75,3.15,1.85,3.3,3.1,1.8,4.0,3.6,1.67,3.85,3.65,1.65
99,B1,01/11/00,Antwerp,Genk,1,0,H,0,0,D,,,,2.6,3.0,2.2,2.5,3.3,2.3,2.45,3.35,2.3
100,B1,11/11/00,Gent,Harelbeke,2,1,H,1,0,H,1.47,3.6,5.8,1.35,3.8,6.2,1.4,3.6,7.0,1.35,4.2,6.2
101,B1,11/11/00,Germinal,Charleroi,0,2,A,0,0,D,2.0,3.0,3.4,1.9,3.0,3.1,1.83,3.4,3.4,1.85,3.4,3.3
102,B1,11/11/00,Mechelen,Westerlo,0,1,A,0,0,D,2.8,3.2,2.2,,,,2.75,3.4,2.1,2.8,3.4,2.05
103,B1,11/11/00,Lokeren,Lierse,2,0,H,1,0,H,2.45,3.0,2.6,2.35,3.0,2.35,2.4,3.4,2.4,2.5,3.5,2.2
104,B1,12/11/00,Aalst,St Truiden,4,1,H,1,1,D,2.05,3.2,3.0,2.2,3.0,2.6,2.0,3.4,2.9,2.0,3.45,2.85
105,B1,12/11/00,Club Brugge,Beveren,6,0,H,2,0,H,1.17,5.8,10.0,1.15,5.5,11.0,1.17,5.5,10.0,1.15,6.0,10.0
106,B1,12/11/00,Louvieroise,Antwerp,2,2,D,1,2,A,2.2,3.2,2.7,2.1,3.0,2.8,2.2,3.4,2.63,2.3,3.4,2.45
107,B1,12/11/00,Mouscron,Genk,2,0,H,0,0,D,1.85,3.0,3.9,1.7,3.2,3.6,1.8,3.3,3.6,1.7,3.5,3.75
108,B1,12/11/00,Standard,Anderlecht,1,1,D,0,0,D,2.5,3.6,2.2,2.35,3.0,2.35,2.4,3.3,2.4,2.4,3.25,2.5
109,B1,17/11/00,Charleroi,Club Brugge,0,4,A,0,1,A,3.2,3.4,1.9,2.8,3.0,2.1,3.25,3.3,1.91,3.4,3.5,1.8
110,B1,18/11/00,Gent,Mouscron,1,0,H,0,0,D,2.15,3.2,2.8,2.2,3.0,2.6,2.1,3.3,2.8,1.9,3.5,3.1
111,B1,18/11/00,Anderlecht,Louvieroise,2,0,H,1,0,H,1.15,6.8,10.0,1.1,7.0,14.0,1.14,6.0,11.0,1.15,6.0,10.0
112,B1,18/11/00,Beveren,Mechelen,1,1,D,1,0,H,1.66,3.4,4.4,1.55,3.3,4.5,1.6,3.5,4.5,1.7,3.4,3.9
113,B1,18/11/00,Genk,Lokeren,0,0,D,0,0,D,1.75,3.2,4.2,1.75,3.2,3.4,1.73,3.3,4.0,1.65,3.5,4.0
114,B1,18/11/00,Lierse,Standard,1,1,D,0,0,D,2.65,3.2,2.3,2.3,3.0,2.4,2.6,3.2,2.3,2.6,3.2,2.25
115,B1,18/11/00,Westerlo,Aalst,1,1,D,1,1,D,1.45,3.6,6.0,1.45,3.5,5.0,1.5,3.5,5.5,1.4,4.0,5.7
116,B1,19/11/00,Antwerp,Germinal,1,2,A,0,0,D,2.3,3.4,2.5,2.35,3.0,2.35,2.3,3.2,2.6,2.3,3.0,2.7
117,B1,19/11/00,Harelbeke,St Truiden,0,4,A,0,1,A,1.95,3.1,3.45,1.9,3.0,3.1,1.91,3.4,3.2,1.9,3.5,3.05
118,B1,24/11/00,Standard,Genk,2,1,H,0,0,D,1.4,4.0,5.8,,,,1.44,3.75,5.75,1.45,3.8,5.3
119,B1,25/11/00,Germinal,Anderlecht,0,1,A,0,0,D,3.9,3.4,1.7,3.3,3.0,1.85,3.5,3.4,1.8,3.35,3.5,1.8
120,B1,25/11/00,Mechelen,Charleroi,4,3,H,2,0,H,3.0,3.2,2.1,2.8,3.0,2.1,2.75,3.4,2.1,2.65,3.5,2.1
121,B1,25/11/00,Louvieroise,Lierse,0,2,A,0,1,A,3.0,3.2,2.1,2.9,2.9,2.1,2.75,3.4,2.1,2.65,3.4,2.15
122,B1,25/11/00,Lokeren,Gent,1,1,D,0,1,A,2.25,3.3,2.7,2.1,3.0,2.8,2.2,3.4,2.6,2.3,3.3,2.5
123,B1,25/11/00,Mouscron,Harelbeke,4,3,H,2,2,D,1.33,4.1,6.8,1.3,4.0,7.0,1.36,3.8,7.0,1.35,4.1,6.5
124,B1,25/11/00,St Truiden,Westerlo,1,2,A,1,1,D,2.4,3.2,2.6,2.35,3.0,2.35,2.38,3.4,2.38,2.4,3.4,2.35
125,B1,26/11/00,Aalst,Beveren,1,1,D,0,0,D,2.05,3.45,2.9,2.0,3.0,2.9,2.0,3.3,3.0,1.85,3.5,3.2
126,B1,26/11/00,Club Brugge,Antwerp,2,0,H,0,0,D,1.15,6.0,12.0,1.15,5.5,11.0,1.15,5.5,11.0,1.2,5.0,9.5
